annotation_id,annotator,created_at,id,lead_time,pos_tag,text,updated_at
11,1,2025-01-25T20:45:58.961062Z,91,111.784,"[{""start"":0,""end"":2,""text"":""CM"",""labels"":[""PROPN""]},{""start"":3,""end"":18,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":19,""end"":21,""text"":""ने"",""labels"":[""PART""]},{""start"":22,""end"":28,""text"":""Rohini"",""labels"":[""PROPN""]},{""start"":29,""end"":32,""text"":""में"",""labels"":[""ADP""]},{""start"":33,""end"":39,""text"":""Launch"",""labels"":[""NOUN""]},{""start"":40,""end"":44,""text"":""किया"",""labels"":[""VERB""]},{""start"":45,""end"":77,""text"":""School of Specialized Excellence"",""labels"":[""PROPN""]},{""start"":78,""end"":79,""text"":""|"",""labels"":[""X""]},{""start"":80,""end"":85,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":86,""end"":90,""text"":""Govt"",""labels"":[""PROPN""]},{""start"":91,""end"":97,""text"":""School"",""labels"":[""NOUN""]}]",CM Arvind Kejriwal ने Rohini में Launch किया School of Specialized Excellence | Delhi Govt School,2025-01-25T20:45:58.961075Z
12,1,2025-01-25T20:47:51.736678Z,92,111.978,"[{""start"":0,""end"":14,""text"":""Manish Sisodia"",""labels"":[""PROPN""]},{""start"":15,""end"":17,""text"":""पर"",""labels"":[""ADP""]},{""start"":18,""end"":22,""text"":""झूठे"",""labels"":[""ADJ""]},{""start"":23,""end"":29,""text"":""जासूसी"",""labels"":[""NOUN""]},{""start"":30,""end"":34,""text"":""Case"",""labels"":[""NOUN""]},{""start"":35,""end"":37,""text"":""पर"",""labels"":[""ADP""]},{""start"":38,""end"":51,""text"":""Raghav Chadha"",""labels"":[""PROPN""]},{""start"":52,""end"":54,""text"":""ने"",""labels"":[""PART""]},{""start"":55,""end"":59,""text"":""बजाई"",""labels"":[""VERB""]},{""start"":60,""end"":63,""text"":""BJP"",""labels"":[""PROPN""]},{""start"":64,""end"":66,""text"":""और"",""labels"":[""CONJ""]},{""start"":67,""end"":71,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":72,""end"":74,""text"":""की"",""labels"":[""PART""]},{""start"":75,""end"":79,""text"":""बैंड"",""labels"":[""NOUN""]},{""start"":80,""end"":83,""text"":""बजा"",""labels"":[""VERB""]},{""start"":84,""end"":86,""text"":""दी"",""labels"":[""VERB""]},{""start"":86,""end"":89,""text"":"" | "",""labels"":[""X""]},{""start"":89,""end"":92,""text"":""AAP"",""labels"":[""PROPN""]}]",Manish Sisodia पर झूठे जासूसी Case पर Raghav Chadha ने बजाई BJP और Modi की बैंड बजा दी | AAP,2025-01-25T20:47:51.736694Z
13,1,2025-01-25T20:53:09.562738Z,93,313.315,"[{""start"":0,""end"":14,""text"":""Manish Sisodia"",""labels"":[""PROPN""]},{""start"":15,""end"":17,""text"":""के"",""labels"":[""ADP""]},{""start"":18,""end"":24,""text"":""Arrest"",""labels"":[""NOUN""]},{""start"":25,""end"":27,""text"":""पर"",""labels"":[""ADP""]},{""start"":28,""end"":41,""text"":""Raghav Chadha"",""labels"":[""PROPN""]},{""start"":42,""end"":44,""text"":""ने"",""labels"":[""PART""]},{""start"":45,""end"":50,""text"":""क्यों"",""labels"":[""PRON_WH""]},{""start"":51,""end"":54,""text"":""कहा"",""labels"":[""VERB""]},{""start"":55,""end"":56,""text"":""\"""",""labels"":[""X""]},{""start"":56,""end"":60,""text"":""बदले"",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":""की"",""labels"":[""PART""]},{""start"":64,""end"":68,""text"":""नहीं"",""labels"":[""PART_NEG""]},{""start"":69,""end"":74,""text"":""बदलाव"",""labels"":[""NOUN""]},{""start"":75,""end"":77,""text"":""की"",""labels"":[""PART""]},{""start"":78,""end"":85,""text"":""राजनीति"",""labels"":[""NOUN""]},{""start"":86,""end"":89,""text"":""करो"",""labels"":[""VERB""]},{""start"":89,""end"":90,""text"":""\"""",""labels"":[""X""]},{""start"":91,""end"":92,""text"":""#"",""labels"":[""X""]},{""start"":92,""end"":98,""text"":""shorts"",""labels"":[""NOUN""]}]","Manish Sisodia के Arrest पर Raghav Chadha ने क्यों कहा ""बदले की नहीं बदलाव की राजनीति करो"" #shorts",2025-01-25T20:53:09.562753Z
14,1,2025-01-25T20:55:25.776838Z,94,134.124,"[{""start"":0,""end"":5,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":6,""end"":9,""text"":""में"",""labels"":[""ADP""]},{""start"":10,""end"":15,""text"":""कामों"",""labels"":[""NOUN""]},{""start"":16,""end"":18,""text"":""की"",""labels"":[""PART""]},{""start"":19,""end"":21,""text"":""LG"",""labels"":[""PROPN""]},{""start"":22,""end"":31,""text"":""VK Saxena"",""labels"":[""PROPN""]},{""start"":32,""end"":34,""text"":""ने"",""labels"":[""PART""]},{""start"":35,""end"":37,""text"":""भी"",""labels"":[""ADV""]},{""start"":38,""end"":40,""text"":""की"",""labels"":[""VERB""]},{""start"":41,""end"":45,""text"":""जमकर"",""labels"":[""ADV""]},{""start"":46,""end"":51,""text"":""तारीफ"",""labels"":[""NOUN""]},{""start"":51,""end"":52,""text"":"","",""labels"":[""X""]},{""start"":53,""end"":58,""text"":""सुनिए"",""labels"":[""VERB""]},{""start"":59,""end"":61,""text"":""CM"",""labels"":[""PROPN""]},{""start"":62,""end"":70,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":71,""end"":73,""text"":""ने"",""labels"":[""PART""]},{""start"":74,""end"":76,""text"":""LG"",""labels"":[""PROPN""]},{""start"":77,""end"":79,""text"":""पर"",""labels"":[""ADP""]},{""start"":80,""end"":84,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":85,""end"":88,""text"":""कहा"",""labels"":[""VERB""]},{""start"":88,""end"":89,""text"":""?"",""labels"":[""X""]}]","Delhi में कामों की LG VK Saxena ने भी की जमकर तारीफ, सुनिए CM Kejriwal ने LG पर क्या कहा?",2025-01-25T20:55:25.776852Z
15,1,2025-01-25T20:57:16.039047Z,95,107.302,"[{""start"":0,""end"":14,""text"":""Manish Sisodia"",""labels"":[""PROPN""]},{""start"":15,""end"":17,""text"":""की"",""labels"":[""PART""]},{""start"":18,""end"":24,""text"":""रिमांड"",""labels"":[""NOUN""]},{""start"":25,""end"":27,""text"":""पर"",""labels"":[""ADP""]},{""start"":28,""end"":40,""text"":""Sanjay Singh"",""labels"":[""PROPN""]},{""start"":41,""end"":43,""text"":""ने"",""labels"":[""PART""]},{""start"":44,""end"":48,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":49,""end"":51,""text"":""की"",""labels"":[""PART""]},{""start"":52,""end"":55,""text"":""CBI"",""labels"":[""PROPN""]},{""start"":56,""end"":58,""text"":""ED"",""labels"":[""PROPN""]},{""start"":59,""end"":61,""text"":""को"",""labels"":[""ADP""]},{""start"":62,""end"":66,""text"":""किया"",""labels"":[""VERB""]},{""start"":67,""end"":73,""text"":""EXPOSE"",""labels"":[""VERB""]},{""start"":73,""end"":76,""text"":"" | "",""labels"":[""X""]},{""start"":76,""end"":79,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":80,""end"":82,""text"":""vs"",""labels"":[""X""]},{""start"":83,""end"":86,""text"":""BJP"",""labels"":[""PROPN""]}]",Manish Sisodia की रिमांड पर Sanjay Singh ने Modi की CBI ED को किया EXPOSE | AAP vs BJP,2025-01-25T20:57:16.039063Z
16,1,2025-01-25T20:58:38.226617Z,96,77.584,"[{""start"":0,""end"":14,""text"":""Manish Sisodia"",""labels"":[""PROPN""]},{""start"":15,""end"":17,""text"":""की"",""labels"":[""PART""]},{""start"":18,""end"":27,""text"":""गिरफ़्तारी"",""labels"":[""NOUN""]},{""start"":28,""end"":30,""text"":""पर"",""labels"":[""ADP""]},{""start"":31,""end"":44,""text"":""Raghav Chadha"",""labels"":[""PROPN""]},{""start"":45,""end"":47,""text"":""ने"",""labels"":[""PART""]},{""start"":48,""end"":52,""text"":""किया"",""labels"":[""VERB""]},{""start"":53,""end"":60,""text"":""चौंकाने"",""labels"":[""VERB""]},{""start"":61,""end"":65,""text"":""वाला"",""labels"":[""PART""]},{""start"":66,""end"":72,""text"":""खुलासा"",""labels"":[""NOUN""]},{""start"":73,""end"":74,""text"":""|"",""labels"":[""X""]},{""start"":75,""end"":78,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":79,""end"":81,""text"":""Vs"",""labels"":[""X""]},{""start"":82,""end"":85,""text"":""BJP"",""labels"":[""PROPN""]}]",Manish Sisodia की गिरफ़्तारी पर Raghav Chadha ने किया चौंकाने वाला खुलासा | AAP Vs BJP,2025-01-25T20:58:38.226629Z
17,1,2025-01-25T21:00:51.975598Z,97,132.192,"[{""start"":0,""end"":8,""text"":""Bhalaswa"",""labels"":[""PROPN""]},{""start"":9,""end"":22,""text"":""Landfill Site"",""labels"":[""PROPN""]},{""start"":23,""end"":25,""text"":""का"",""labels"":[""PART""]},{""start"":26,""end"":30,""text"":""दौरा"",""labels"":[""NOUN""]},{""start"":31,""end"":35,""text"":""करने"",""labels"":[""VERB""]},{""start"":36,""end"":38,""text"":""के"",""labels"":[""ADP""]},{""start"":39,""end"":42,""text"":""बाद"",""labels"":[""NOUN""]},{""start"":43,""end"":45,""text"":""CM"",""labels"":[""PROPN""]},{""start"":46,""end"":54,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":55,""end"":57,""text"":""ने"",""labels"":[""PART""]},{""start"":58,""end"":62,""text"":""क्या"",""labels"":[""PRON_WH""]},{""start"":63,""end"":66,""text"":""कहा"",""labels"":[""VERB""]},{""start"":66,""end"":67,""text"":""?"",""labels"":[""X""]},{""start"":68,""end"":69,""text"":""#"",""labels"":[""X""]},{""start"":75,""end"":76,""text"":""#"",""labels"":[""X""]},{""start"":76,""end"":89,""text"":""aamaadmiparty"",""labels"":[""PROPN""]},{""start"":90,""end"":91,""text"":""#"",""labels"":[""X""]},{""start"":91,""end"":97,""text"":""shorts"",""labels"":[""NOUN""]}]",Bhalaswa Landfill Site का दौरा करने के बाद CM Kejriwal ने क्या कहा? #delhi #aamaadmiparty #shorts,2025-01-25T21:00:51.975616Z
18,1,2025-01-25T21:03:13.171853Z,98,139.265,"[{""start"":0,""end"":12,""text"":""Sanjay Singh"",""labels"":[""PROPN""]},{""start"":13,""end"":15,""text"":""ने"",""labels"":[""PART""]},{""start"":16,""end"":21,""text"":""Delhi"",""labels"":[""PROPN""]},{""start"":22,""end"":24,""text"":""के"",""labels"":[""ADP""]},{""start"":25,""end"":27,""text"":""LG"",""labels"":[""PROPN""]},{""start"":28,""end"":46,""text"":""Vinai Kumar Saxena"",""labels"":[""PROPN""]},{""start"":47,""end"":49,""text"":""का"",""labels"":[""PART""]},{""start"":50,""end"":54,""text"":""असली"",""labels"":[""ADJ""]},{""start"":55,""end"":60,""text"":""चेहरा"",""labels"":[""NOUN""]},{""start"":61,""end"":63,""text"":""कर"",""labels"":[""VERB""]},{""start"":64,""end"":68,""text"":""दिया"",""labels"":[""VERB""]},{""start"":69,""end"":75,""text"":""EXPOSE"",""labels"":[""VERB""]},{""start"":76,""end"":77,""text"":""|"",""labels"":[""X""]},{""start"":78,""end"":82,""text"":""Modi"",""labels"":[""PROPN""]},{""start"":83,""end"":85,""text"":""| "",""labels"":[""X""]},{""start"":85,""end"":88,""text"":""BJP"",""labels"":[""PROPN""]}]",Sanjay Singh ने Delhi के LG Vinai Kumar Saxena का असली चेहरा कर दिया EXPOSE | Modi | BJP,2025-01-25T21:03:13.171866Z
19,1,2025-01-25T21:04:32.446064Z,99,77.396,"[{""start"":0,""end"":8,""text"":""Bhalaswa"",""labels"":[""PROPN""]},{""start"":9,""end"":22,""text"":""Landfill site"",""labels"":[""PROPN""]},{""start"":23,""end"":25,""text"":""पर"",""labels"":[""ADP""]},{""start"":26,""end"":32,""text"":""पहुंचे"",""labels"":[""VERB""]},{""start"":33,""end"":35,""text"":""CM"",""labels"":[""PROPN""]},{""start"":36,""end"":51,""text"":""Arvind Kejriwal"",""labels"":[""PROPN""]},{""start"":51,""end"":53,""text"":"" |"",""labels"":[""X""]},{""start"":54,""end"":59,""text"":""Mayor"",""labels"":[""PROPN""]},{""start"":60,""end"":73,""text"":""Shelly Oberoi"",""labels"":[""PROPN""]},{""start"":74,""end"":76,""text"":""| "",""labels"":[""X""]},{""start"":76,""end"":93,""text"":""Saurabh Bharadwaj"",""labels"":[""PROPN""]},{""start"":94,""end"":95,""text"":""|"",""labels"":[""X""]},{""start"":96,""end"":99,""text"":""AAP"",""labels"":[""PROPN""]}]",Bhalaswa Landfill site पर पहुंचे CM Arvind Kejriwal | Mayor Shelly Oberoi | Saurabh Bharadwaj | AAP,2025-01-25T21:04:32.446075Z
20,1,2025-01-25T21:08:31.870231Z,100,238.302,"[{""start"":0,""end"":6,""text"":""Punjab"",""labels"":[""PROPN""]},{""start"":7,""end"":10,""text"":""में"",""labels"":[""ADV""]},{""start"":11,""end"":14,""text"":""AAP"",""labels"":[""PROPN""]},{""start"":15,""end"":19,""text"":""Govt"",""labels"":[""NOUN""]},{""start"":20,""end"":22,""text"":""का"",""labels"":[""PART""]},{""start"":23,""end"":24,""text"":""1"",""labels"":[""NUM""]},{""start"":25,""end"":28,""text"":""साल"",""labels"":[""NOUN""]},{""start"":29,""end"":33,""text"":""पूरा"",""labels"":[""ADJ""]},{""start"":33,""end"":34,""text"":"","",""labels"":[""X""]},{""start"":35,""end"":43,""text"":""Kejriwal"",""labels"":[""PROPN""]},{""start"":44,""end"":46,""text"":""ने"",""labels"":[""PART""]},{""start"":47,""end"":50,""text"":""कहा"",""labels"":[""VERB""]},{""start"":51,""end"":52,""text"":""5"",""labels"":[""NUM""]},{""start"":53,""end"":56,""text"":""साल"",""labels"":[""NOUN""]},{""start"":57,""end"":60,""text"":""में"",""labels"":[""ADP""]},{""start"":61,""end"":68,""text"":""बनाएंगे"",""labels"":[""VERB""]},{""start"":69,""end"":74,""text"":""रंगला"",""labels"":[""ADJ""]},{""start"":75,""end"":80,""text"":""पंजाब"",""labels"":[""PROPN""]},{""start"":81,""end"":82,""text"":""#"",""labels"":[""X""]},{""start"":82,""end"":88,""text"":""punjab"",""labels"":[""PROPN""]},{""start"":89,""end"":90,""text"":""#"",""labels"":[""X""]},{""start"":90,""end"":96,""text"":""shorts"",""labels"":[""NOUN""]}]","Punjab में AAP Govt का 1 साल पूरा, Kejriwal ने कहा 5 साल में बनाएंगे रंगला पंजाब #punjab #shorts",2025-01-25T21:08:31.870254Z
